Image,Format,NoiseLevel,Filter,PSNR,Similarity%
lion.pgm,P5,0.01,median_3,34.8715,83.397
lion.pgm,P5,0.01,median_5,29.9238,63.1811
lion.pgm,P5,0.01,mean_3,31.2445,72.6623
lion.pgm,P5,0.01,mean_5,28.8359,53.7479
lion.pgm,P5,0.01,gaussian_3,31.7045,80.6909
lion.pgm,P5,0.05,median_3,34.3902,82.1702
lion.pgm,P5,0.05,median_5,29.8241,62.7417
lion.pgm,P5,0.05,mean_3,26.6021,54.4895
lion.pgm,P5,0.05,mean_5,27.1785,43.1259
lion.pgm,P5,0.05,gaussian_3,26.0784,61.2185
lion.pgm,P5,0.1,median_3,33.6103,80.4376
lion.pgm,P5,0.1,median_5,29.7122,62.1341
lion.pgm,P5,0.1,mean_3,23.8297,39.5254
lion.pgm,P5,0.1,mean_5,25.4556,34.8948
lion.pgm,P5,0.1,gaussian_3,23.1447,44.8009
krechet.pgm,P5,0.01,median_3,32.8104,92.5071
krechet.pgm,P5,0.01,median_5,28.228,88.1821
krechet.pgm,P5,0.01,mean_3,29.5246,81.2587
krechet.pgm,P5,0.01,mean_5,27.0522,75.3812
krechet.pgm,P5,0.01,gaussian_3,30.399,83.65
krechet.pgm,P5,0.05,median_3,32.1941,91.8962
krechet.pgm,P5,0.05,median_5,28.1012,87.8752
krechet.pgm,P5,0.05,mean_3,25.7895,58.4846
krechet.pgm,P5,0.05,mean_5,25.7802,53.2827
krechet.pgm,P5,0.05,gaussian_3,25.5622,62.6247
krechet.pgm,P5,0.1,median_3,31.3822,91.1903
krechet.pgm,P5,0.1,median_5,27.9696,87.5376
krechet.pgm,P5,0.1,mean_3,23.2983,39.8846
krechet.pgm,P5,0.1,mean_5,24.3758,39.3162
krechet.pgm,P5,0.1,gaussian_3,22.8068,45.0296
cat.pgm,P5,0.01,median_3,30.9882,82.937
cat.pgm,P5,0.01,median_5,28.4412,75.7933
cat.pgm,P5,0.01,mean_3,29.2155,74.7253
cat.pgm,P5,0.01,mean_5,28.0336,67.7572
cat.pgm,P5,0.01,gaussian_3,30.0607,78.8509
cat.pgm,P5,0.05,median_3,30.7842,82.5056
cat.pgm,P5,0.05,median_5,28.4053,75.6638
cat.pgm,P5,0.05,mean_3,25.7226,56.1885
cat.pgm,P5,0.05,mean_5,26.6043,49.6382
cat.pgm,P5,0.05,gaussian_3,25.4603,60.4878
cat.pgm,P5,0.1,median_3,30.3838,81.8932
cat.pgm,P5,0.1,median_5,28.3503,75.4506
cat.pgm,P5,0.1,mean_3,23.236,40.26
cat.pgm,P5,0.1,mean_5,24.9709,37.1569
cat.pgm,P5,0.1,gaussian_3,22.6901,44.3234
cat2.pgm,P5,0.01,median_3,40.9921,96.6399
cat2.pgm,P5,0.01,median_5,36.9833,92.2355
cat2.pgm,P5,0.01,mean_3,33.411,88.1415
cat2.pgm,P5,0.01,mean_5,33.9055,80.7505
cat2.pgm,P5,0.01,gaussian_3,32.9494,90.7633
cat2.pgm,P5,0.05,median_3,40.3929,96.1346
cat2.pgm,P5,0.05,median_5,36.8194,91.8999
cat2.pgm,P5,0.05,mean_3,27.1198,64.6514
cat2.pgm,P5,0.05,mean_5,29.862,57.3953
cat2.pgm,P5,0.05,gaussian_3,26.259,68.4666
cat2.pgm,P5,0.1,median_3,38.8342,95.4324
cat2.pgm,P5,0.1,median_5,36.5822,91.4728
cat2.pgm,P5,0.1,mean_3,23.9439,44.3115
cat2.pgm,P5,0.1,mean_5,26.8573,41.4545
cat2.pgm,P5,0.1,gaussian_3,23.0773,48.6469
panter.pgm,P5,0.01,median_3,37.4376,94.8351
panter.pgm,P5,0.01,median_5,32.1847,90.026
panter.pgm,P5,0.01,mean_3,32.3456,86.3237
panter.pgm,P5,0.01,mean_5,30.5687,79.4433
panter.pgm,P5,0.01,gaussian_3,32.2872,88.5
panter.pgm,P5,0.05,median_3,36.8468,94.4373
panter.pgm,P5,0.05,median_5,32.0823,89.8616
panter.pgm,P5,0.05,mean_3,26.6516,64.4081
panter.pgm,P5,0.05,mean_5,28.0612,55.8882
panter.pgm,P5,0.05,gaussian_3,25.9102,67.6006
panter.pgm,P5,0.1,median_3,35.7704,93.9101
panter.pgm,P5,0.1,median_5,31.9204,89.6293
panter.pgm,P5,0.1,mean_3,23.5482,45.5411
panter.pgm,P5,0.1,mean_5,25.6579,39.5533
panter.pgm,P5,0.1,gaussian_3,22.7568,49.1497
test_image.pgm,P2,0.01,median_3,77.7169,100
test_image.pgm,P2,0.01,median_5,62.592,100
test_image.pgm,P2,0.01,mean_3,34.3634,90.26
test_image.pgm,P2,0.01,mean_5,38.5423,89.14
test_image.pgm,P2,0.01,gaussian_3,33.203,91.32
test_image.pgm,P2,0.05,median_3,64.4201,100
test_image.pgm,P2,0.05,median_5,60.9458,100
test_image.pgm,P2,0.05,mean_3,27.7754,66.76
test_image.pgm,P2,0.05,mean_5,31.7338,64.9
test_image.pgm,P2,0.05,gaussian_3,26.6752,68.56
test_image.pgm,P2,0.1,median_3,60.1581,100
test_image.pgm,P2,0.1,median_5,59.1766,100
test_image.pgm,P2,0.1,mean_3,24.4654,45.39
test_image.pgm,P2,0.1,mean_5,28.0916,48.27
test_image.pgm,P2,0.1,gaussian_3,23.4548,47.95
